 1  2  3  4  5  6  7  8  9 10 11 12 13 14 caracteres
-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 q0
 2  3  9 -1 -1 -1 -1 -1 12 -1 -1  4 -1 -1 q1
-1 -1  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 q2
-1 -1  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 q3
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  6 -1 q4
-1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 q5
-1 -1  7  7 -1 -1  7 -1 -1 -1 -1 -1 -1 -1 q6
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  8 q7
-1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 q8
-1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 q9
-1 -1 11 11 -1 -1 11 -1 -1 -1 -1 -1 -1 -1 q10
-1 -1 -1 -1 -1  1 -1 -1 -1 10 10 -1 -1 -1 q11
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 q12
